"","dates","V1","V2","V3","V4","V5","V6","V7","V8"
"14611",2000-01-01,0.6,3.6,19.5,NA,0,17,0,6.8
"14613",2000-01-02,0.5,3.6,0,0,0,5.3,0,3
"14615",2000-01-03,3.2,2,0,0,0,0,0,4
"14617",2000-01-04,NA,5.1,0,0,0,0,0,0
"14619",2000-01-05,0,3.7,0,0,7.6,0,1.2,0
"14621",2000-01-06,0.4,8.7,6.9,2,1.3,2.2,0,6
"14623",2000-01-07,3.1,6.3,7.2,0,15.2,8.8,2.2,11.2
"14625",2000-01-08,0.2,0.2,0,4.5,5.5,1,5.2,7.4
"14627",2000-01-09,0,1.3,0,0,0,5.7,0,9.9
"14629",2000-01-10,0.4,3.4,16.1,0,0,0.5,0,13.7
"14631",2000-01-11,1.6,2,1.9,0,0,2.8,0,7.2
"14633",2000-01-12,0.6,0,0,4.5,0,5.4,0,0
"14635",2000-01-13,0.6,8.4,9.3,0,0,3.4,0,0
"14637",2000-01-14,0.8,0,0,0,0,0,0,0
"14639",2000-01-15,0,0,0,0,0,0,0,0
"14641",2000-01-16,0.2,0,0,0,0,0,0,0
"14643",2000-01-17,NA,1,4.7,3.3,6.9,0,0,8
"14645",2000-01-18,0.2,3.1,5.9,3.4,8.5,1.9,0,8.6
"14647",2000-01-19,0.8,1.5,0,0,4.5,1.5,11.3,7.9
"14649",2000-01-20,7,0.5,0.7,4.8,4.5,0.6,8.6,3.7
"14651",2000-01-21,2,0,2.5,8.5,0,7.1,0,8.1
"14653",2000-01-22,2.1,1.3,0,2,0,7.9,0,6.4
"14655",2000-01-23,NA,2.8,5.2,4.5,5.6,14.3,1.2,4.9
"14657",2000-01-24,0,2.6,2,2,11.2,1.4,0,1
"14659",2000-01-25,0.2,6.8,0,0,14,0,0,0
"14661",2000-01-26,8.2,3.3,7.2,8.5,11.3,7,8.7,5.7
"14663",2000-01-27,12.2,9.2,16,8,13.7,12.9,9,9.7
"14665",2000-01-28,4.7,4.8,16.5,7.5,5.5,4,5.6,4.7
"14667",2000-01-29,0.4,10.8,7.6,2.5,6.6,4.6,0,7.2
"14669",2000-01-30,6.1,5.5,11.9,10.5,1.5,9.1,5.4,7.8
"14671",2000-01-31,1,6.6,9,11,0,17,4.5,11.1
"14673",2000-02-01,2.9,1.3,14.2,10,0,7.5,1.3,8
"14675",2000-02-02,2.2,6.5,2.3,6.5,1.3,7,3.1,2.6
"14677",2000-02-03,4.5,0,15.4,11,3.5,18,7.3,12.8
"14679",2000-02-04,1.6,2.2,3.5,16,4.9,12.8,0,12.9
"14681",2000-02-05,0,0.9,0.5,10.5,3.9,1.5,0,13.5
"14683",2000-02-06,0.6,3.6,5.4,10.7,11.8,17.4,0,12
"14685",2000-02-07,NA,5,5,2.8,2.2,8.2,5.2,2.7
"14687",2000-02-08,0.8,0,2.2,3.5,0,7.3,0,2
"14689",2000-02-09,0,0,1.2,0,0,0,0,0
"14691",2000-02-10,0,0,0,0,0,0,0,0
"14693",2000-02-11,0,0,0,0,0,1,0,0
"14695",2000-02-12,0,0,0,0,0,0.1,0,0
"14697",2000-02-13,0,0,0,0,0,0,0,0
"14699",2000-02-14,0,4,2.5,1,4.2,0,0,3.8
"14701",2000-02-15,0,3.2,7.8,5.4,6.4,2,5.4,8.6
"14703",2000-02-16,24.6,11.8,10.2,7.5,10.4,9,15.5,4.7
"14705",2000-02-17,7.9,8.3,13.5,12.5,13.5,8.7,4.7,11
"14707",2000-02-18,9,3.6,4.2,3.6,5,8.6,1.8,3.9
"14709",2000-02-19,1.6,3.1,2.9,10.8,5.6,2.1,1.3,1.1
"14711",2000-02-20,0,4.1,17.8,11.5,0,5.7,0,2.7
"14713",2000-02-21,6.4,3.4,12.6,12.4,2.1,14.6,15.1,3.8
"14715",2000-02-22,1.6,6.7,10.7,7.3,22.2,6,4.5,6.4
